time,type,thing,fisher,weight,worth,total
1717290271110,epic,Shrimp Toy,zoskyb,1.07,107,457
1717290424905,uncommon,Sea Urchin,andrearghos,0.17,26,27
1717290606099,uncommon,Murex Shellfish,necroso7,0.47,38,418
1717290678502,common,Mussel,alex888ru,0.1,10,114
1717290783172,common,Black Redeye,surfeus,43,32,222
1717290808611,epic,Eagle Ray,thanossoul,225,214,232
1717290952229,common,Pike,JohnnyQuizz,0.94,9,433
1717291130220,common,Barracuda,andrearghos,8.2,27,54
1717291151565,junk,Vape,lightb0011,0.17,9,520
1717291261132,uncommon,Frontosa Cichlid,necroso7,0.43,30,448
1717291388536,common,Black Redeye,giggles3888,37,28,494
1717291416451,junk,CB Longneck,staggerrilla,0.22,2,596
1717291437961,common,Blue Discus,bleepbloopinbot,0.17,17,518
1717291461097,rare,Red Discus,surfeus,0.44,99,321
1717291541363,junk,Funny Metal Tubes,crayzeyez,0.16,2,2
1717291574479,uncommon,Oyster,JohnnyQuizz,0.43,52,485
1717291629312,rare,Emperor Angelfish,JohnnyQuizz,1.54,72,557
1717291664028,common,Pike,alex888ru,0.9,9,123
1717291846850,common,Perch,thanossoul,2.49,25,257
1717291871118,epic,Leatherback Turtle,lightb0011,445,156,676
1717291951461,rare,Rainbow Cichlid,necroso7,0.46,60,508
1717292104768,common,Black Redeye,alex888ru,39,30,153
1717292517889,rare,Piranha,drage88,0.8,64,64
1717292551745,junk,Funny Metal Tubes,JohnnyQuizz,0.19,2,559
1717292573661,uncommon,Red Eye Fish,surfeus,2.69,38,359
1717292595020,common,Pike,lightb0011,0.91,9,685
1717292621487,legendary,Croissant Shark,necroso7,1.07,266,774
1717292642674,junk,Thong,drage88,0.2,2,66
1717292664202,common,Mackerel,hehebhdjd,1.85,18,18
1717292685768,common,Mackerel,staggerrilla,2.14,21,617
1717292708163,rare,Nimbochromis,bleepbloopinbot,2.85,62,580
1717292729922,uncommon,Sea Urchin,JohnnyQuizz,0.21,31,590
1717292751246,common,Pike,hehebhdjd,0.9,9,27
1717292773766,uncommon,Lobster,thanossoul,0.97,68,325
1717292795766,uncommon,Streaked Spinefoot,giggles3888,0.21,42,536
1717292817404,common,Barracuda,lightb0011,7.5,25,710
1717292841964,epic,Yellow Mandarin Fish,JohnnyQuizz,0.19,169,759
1717292863301,junk,Vape,drage88,0.16,8,74
1717292884773,common,Trout,crayzeyez,1.05,16,18
1717293102616,junk,Thong,crayzeyez,0.21,2,20
1717293160506,rare,Parrot Fish,JohnnyQuizz,1.86,65,824
1717293226649,rare,Clownfish,necroso7,0.17,75,849
1717293248152,common,Trout,JohnnyQuizz,1.1,17,841
1717293272722,uncommon,Starfish,JohnnyQuizz,0.11,33,874
1717293397790,rare,Arapaima,lightb0011,82,82,792
1717293419159,junk,Some Keys,JohnnyQuizz,0.22,11,885
1717293485148,rare,Clownfish,JohnnyQuizz,0.21,93,978
1717293582983,rare,Nimbochromis,JohnnyQuizz,2.41,52,1030
1717293617007,junk,Traffic Cone,lightb0011,0.96,8,800
1717293638573,common,Mackerel,giggles3888,2.04,20,556
1717293661514,rare,Red Discus,crayzeyez,0.4,91,111
1717293684124,uncommon,Oyster,surfeus,0.41,50,409
1717293705672,common,Black Spotted Grunt,JohnnyQuizz,4.67,19,1049
1717293728669,rare,Marlin,zoskyb,277,92,549
1717293816740,junk,Thong,staggerrilla,0.2,2,619
1717293838508,common,Barracuda,bleepbloopinbot,8.6,29,609
1717293859698,junk,Funny Metal Tubes,thanossoul,0.21,2,327
1717293927193,junk,VHS Tape,JohnnyQuizz,0.41,16,1065
1717294146954,epic,Moorish Idol,lightb0011,2.16,195,995
1717294170893,rare,Orangespined Unicornfish,necroso7,1.08,81,930
1717294308814,common,Barracuda,CHUCKY_XS,9.6,32,340
1717294491356,uncommon,Golden Redeye Rudd,giggles3888,0.84,42,598
1717294618267,rare,Sunfish,zoskyb,938,104,653
1717294679065,common,Black Spotted Grunt,surfeus,4.34,17,426
1717294708159,rare,Nimbochromis,JohnnyQuizz,2.48,54,1119
1717294859396,epic,Sponge,necroso7,0.09,2,932
1717294893264,uncommon,Koi,lightb0011,13.4,53,1048
1717295018447,rare,Clownfish,staggerrilla,0.16,72,691
1717295040336,uncommon,Frontosa Cichlid,bleepbloopinbot,0.55,38,647
1717295063749,common,Black Redeye,thanossoul,33,25,352
1717295091502,junk,Skateboard,boris_xrenpopadesh,2.58,43,43
1717295117143,common,Salmon,JohnnyQuizz,3.82,29,1148
1717295202449,junk,Nugget,giggles3888,0.22,2,600
1717295310136,junk,Weird Drawing of a Fish?,JohnnyQuizz,0.56,11,1159
